2023-04-15|10:13:25|ergonomic keyboard|Amazon|-89.50
2023-04-15|11:15:00|Invoice 1001 paid|Joe|1500.00
2023-04-16|14:30:45|Grocery shopping|Walmart|-120.35
2024-04-17|09:05:10|Gasoline|Shell|-45.00
2024-04-18|12:30:00|Monthly rent payment|ABC Apartments|-2000.00
2024-04-19|15:20:30|Dinner with friends|Cheesecake Factory|-85.20
2024-04-21|08:45:00|Salary deposit|ABC Company|5000.00
2024-04-23|14:00:15|Haircut|Mario's Barber Shop|-35.00
2024-04-24|16:10:00|Online course subscription|Udemy|-70.00
2022-10-10|10:10:10|deposit|amazon|100.0
2023-09-03|12:11:10|Salon|Belle Curls|100.0
2022-03-09|12:14:00|Super Market|Wallmart|500.0
2022-04-04|12:12:12|Parlor|Bloom Beauty|70.0
2022-07-12|12:12:30|Nails|Beauty custumes|60.0
2022-11-03|12:14:40|Food|Food Market|600.0
2022-10-11|01:01:01|test1|testvendor|100.0
2022-03-01|01:02:03|payment desc|payvendor|-200.0
2022-03-22|12:12:12|Ring|Ring Wood|100.0
2023-11-23|12:14:12|Nails|Beauty Care|-600.0
